"Step","restful-grass-361 - decoder_loss","restful-grass-361 - decoder_loss__MIN","restful-grass-361 - decoder_loss__MAX","polar-wave-360 - decoder_loss","polar-wave-360 - decoder_loss__MIN","polar-wave-360 - decoder_loss__MAX","fanciful-lion-357 - decoder_loss","fanciful-lion-357 - decoder_loss__MIN","fanciful-lion-357 - decoder_loss__MAX","peachy-lake-322 - decoder_loss","peachy-lake-322 - decoder_loss__MIN","peachy-lake-322 - decoder_loss__MAX","fast-field-321 - decoder_loss","fast-field-321 - decoder_loss__MIN","fast-field-321 - decoder_loss__MAX","proud-plant-319 - decoder_loss","proud-plant-319 - decoder_loss__MIN","proud-plant-319 - decoder_loss__MAX","fresh-totem-319 - decoder_loss","fresh-totem-319 - decoder_loss__MIN","fresh-totem-319 - decoder_loss__MAX","lunar-grass-318 - decoder_loss","lunar-grass-318 - decoder_loss__MIN","lunar-grass-318 - decoder_loss__MAX","graceful-night-317 - decoder_loss","graceful-night-317 - decoder_loss__MIN","graceful-night-317 - decoder_loss__MAX","different-leaf-278 - decoder_loss","different-leaf-278 - decoder_loss__MIN","different-leaf-278 - decoder_loss__MAX"
"36","4.171383380889893","4.171383380889893","4.171383380889893","4.78551721572876","4.78551721572876","4.78551721572876","4.331546783447266","4.331546783447266","4.331546783447266","4.682040691375732","4.682040691375732","4.682040691375732","4.817878246307373","4.817878246307373","4.817878246307373","4.867818832397461","4.867818832397461","4.867818832397461","4.776863098144531","4.776863098144531","4.776863098144531","4.821462631225586","4.821462631225586","4.821462631225586","4.891487121582031","4.891487121582031","4.891487121582031","4.838161468505859","4.838161468505859","4.838161468505859"
"37","4.14231538772583","4.14231538772583","4.14231538772583","4.751734733581543","4.751734733581543","4.751734733581543","4.3010478019714355","4.3010478019714355","4.3010478019714355","4.648995876312256","4.648995876312256","4.648995876312256","4.784150123596191","4.784150123596191","4.784150123596191","4.83351993560791","4.83351993560791","4.83351993560791","4.743146896362305","4.743146896362305","4.743146896362305","4.787445545196533","4.787445545196533","4.787445545196533","4.856848239898682","4.856848239898682","4.856848239898682","4.804047107696533","4.804047107696533","4.804047107696533"
"38","4.6062912940979","4.6062912940979","4.6062912940979","5.268699645996094","5.268699645996094","5.268699645996094","4.781659126281738","4.781659126281738","4.781659126281738","5.157083988189697","5.157083988189697","5.157083988189697","5.308080673217773","5.308080673217773","5.308080673217773","5.3615803718566895","5.3615803718566895","5.3615803718566895","5.259369850158691","5.259369850158691","5.259369850158691","5.307491302490234","5.307491302490234","5.307491302490234","5.386877059936523","5.386877059936523","5.386877059936523","5.325526237487793","5.325526237487793","5.325526237487793"
"39","4.5527801513671875","4.5527801513671875","4.5527801513671875","5.140200614929199","5.140200614929199","5.140200614929199","4.706617832183838","4.706617832183838","4.706617832183838","5.044172763824463","5.044172763824463","5.044172763824463","5.164218425750732","5.164218425750732","5.164218425750732","5.210682392120361","5.210682392120361","5.210682392120361","5.132164478302002","5.132164478302002","5.132164478302002","5.1735429763793945","5.1735429763793945","5.1735429763793945","5.232512950897217","5.232512950897217","5.232512950897217","5.189059257507324","5.189059257507324","5.189059257507324"
"40","4.315317153930664","4.315317153930664","4.315317153930664","4.9374589920043945","4.9374589920043945","4.9374589920043945","4.476402282714844","4.476402282714844","4.476402282714844","4.834014415740967","4.834014415740967","4.834014415740967","4.962447643280029","4.962447643280029","4.962447643280029","5.012204647064209","5.012204647064209","5.012204647064209","4.928822040557861","4.928822040557861","4.928822040557861","4.973273754119873","4.973273754119873","4.973273754119873","5.035789489746094","5.035789489746094","5.035789489746094","4.989908695220947","4.989908695220947","4.989908695220947"
"41","4.321682929992676","4.321682929992676","4.321682929992676","4.9440507888793945","4.9440507888793945","4.9440507888793945","4.482980728149414","4.482980728149414","4.482980728149414","4.840848922729492","4.840848922729492","4.840848922729492","4.969454765319824","4.969454765319824","4.969454765319824","5.019036293029785","5.019036293029785","5.019036293029785","4.935427188873291","4.935427188873291","4.935427188873291","4.979881763458252","4.979881763458252","4.979881763458252","5.042484760284424","5.042484760284424","5.042484760284424","4.996544361114502","4.996544361114502","4.996544361114502"
"42","4.124819278717041","4.124819278717041","4.124819278717041","4.763144493103027","4.763144493103027","4.763144493103027","4.289920330047607","4.289920330047607","4.289920330047607","4.656031131744385","4.656031131744385","4.656031131744385","4.793303966522217","4.793303966522217","4.793303966522217","4.8451385498046875","4.8451385498046875","4.8451385498046875","4.754188060760498","4.754188060760498","4.754188060760498","4.8004469871521","4.8004469871521","4.8004469871521","4.869771957397461","4.869771957397461","4.869771957397461","4.817776679992676","4.817776679992676","4.817776679992676"
"43","4.336210250854492","4.336210250854492","4.336210250854492","5.008297443389893","5.008297443389893","5.008297443389893","4.513319969177246","4.513319969177246","4.513319969177246","4.893909454345703","4.893909454345703","4.893909454345703","5.051151752471924","5.051151752471924","5.051151752471924","5.1065354347229","5.1065354347229","5.1065354347229","4.998732089996338","4.998732089996338","4.998732089996338","5.048095703125","5.048095703125","5.048095703125","5.133019924163818","5.133019924163818","5.133019924163818","5.066583156585693","5.066583156585693","5.066583156585693"
"44","4.183448791503906","4.183448791503906","4.183448791503906","4.840109825134277","4.840109825134277","4.840109825134277","4.356525897979736","4.356525897979736","4.356525897979736","4.728869915008545","4.728869915008545","4.728869915008545","4.879504203796387","4.879504203796387","4.879504203796387","4.932677268981934","4.932677268981934","4.932677268981934","4.830809116363525","4.830809116363525","4.830809116363525","4.878788948059082","4.878788948059082","4.878788948059082","4.957833290100098","4.957833290100098","4.957833290100098","4.896762371063232","4.896762371063232","4.896762371063232"
"45","4.127155780792236","4.127155780792236","4.127155780792236","4.741584777832031","4.741584777832031","4.741584777832031","4.28775691986084","4.28775691986084","4.28775691986084","4.638308048248291","4.638308048248291","4.638308048248291","4.7744317054748535","4.7744317054748535","4.7744317054748535","4.824408054351807","4.824408054351807","4.824408054351807","4.73295259475708","4.73295259475708","4.73295259475708","4.777480125427246","4.777480125427246","4.777480125427246","4.848074436187744","4.848074436187744","4.848074436187744","4.794156074523926","4.794156074523926","4.794156074523926"
